Ticker,H_hat_avg,H_hat_stdev,OFI_R^2,OFI_t(beta_O_hat),OFI_beta_O!=0 (%),OFI_F,VOL_R^2,VOL_t(beta_V_hat),VOL_beta_V!=0 (%),VOL_F,Both_R^2,Both_t(phi_O_hat),Both_t(phi_V_hat),Both_phi_O!=0 (%),Both_phi_V!=0 (%),Both_F
OMC,0.15,0.09,57%,10.1,99%,286,20%,6.4,98%,48,59%,8.6,2.4,98%,73%,151
PCS,0.11,0.18,62%,7.1,96%,411,18%,3.7,97%,54,63%,6.5,0.7,93%,20%,214
PHM,0.07,0.08,64%,10.2,100%,384,15%,5.5,90%,34,65%,9.4,1.2,99%,40%,195
PKI,0.11,0.11,55%,7.8,99%,266,20%,4.8,97%,47,57%,6.7,1.8,98%,53%,141
R,0.27,0.11,56%,8.6,98%,259,28%,6.0,100%,74,59%,6.9,2.9,97%,85%,147
RAI,0.25,0.10,61%,9.2,99%,334,28%,5.7,100%,73,63%,7.6,2.4,99%,71%,182
SLB,0.24,0.07,62%,12.0,99%,330,19%,5.5,98%,46,63%,10.6,1.7,99%,51%,171
TE,0.09,1.69,60%,8.0,98%,371,18%,4.4,85%,48,61%,7.2,1.3,98%,39%,196
TWC,0.25,0.10,55%,9.7,99%,253,27%,6.6,100%,73,58%,7.6,3.0,99%,81%,142
WHR,0.34,0.11,56%,8.2,97%,272,29%,6.3,100%,78,59%,6.6,2.9,95%,86%,156
WIN,0.06,0.26,48%,3.9,79%,340,10%,2.8,50%,34,49%,3.7,0.6,79%,29%,179
WPI,0.22,0.10,61%,9.6,98%,361,28%,5.8,100%,75,64%,7.7,2.2,98%,71%,196
XTO,0.08,0.06,53%,10.9,100%,238,15%,6.5,100%,32,55%,9.6,2.7,100%,78%,125
Grand mean,0.18,0.18,58%,9.8,98%,313,23%,6.0,97%,58,61%,8.3,2.3,97%,67%,168
